latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT
42.303285,-71.078886,island style,183 Washington St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,4.0,1 to 9,Four Corners,POINT (-71.078886 42.303285),,6,4
42.29958,-71.073644,in & out jamaican restaurant,105 Bowdoin Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,Four Corners,POINT (-71.073644 42.29958),,6,4
42.295882,-71.071859,healthworks community fitness,450 Washington St,2124,713940,Fitness and Recreational Sports Centers,71,"Arts, Entertainment, and Recreation",7.0,1 to 9,Four Corners,POINT (-71.071859 42.295882),,6,4
42.297085,-71.072061,health center for community,420 Washington St,2124,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,9.0,1 to 9,Four Corners,POINT (-71.072061 42.297085),,6,4
42.304367,-71.079529,happy nails,149 Washington St,2121,812112,Beauty Salons,81,Other Services,3.0,1 to 9,Four Corners,POINT (-71.079529 42.304367),,6,4
42.304698,-71.079342,h l organizing solutions inc,142 Washington St,2121,541618,Other Management Consulting Services,54,"Professional, Scientific, and Technical Services",7.0,1 to 9,Four Corners,POINT (-71.079342 42.304698),,6,4
42.298652,-71.072882,greenwood shalom tutoring zone & summer enrichment,378 Washington St,2124,611691,Exam Preparation and Tutoring,61,Educational Services,12.0,10 to 24,Four Corners,POINT (-71.072882 42.298652),,6,4
42.298652,-71.072882,greenwood memorial united methodist church,378A Washington St,2124,813110,Religious Organizations,81,Other Services,4.0,1 to 9,Four Corners,POINT (-71.072882 42.298652),,6,4
42.295669,-71.072473,grace church of all nations,451 Washington St,2124,813110,Religious Organizations,81,Other Services,2.0,1 to 9,Four Corners,POINT (-71.072473 42.295669),,6,4
42.30048,-71.075619,gomez gas,285 Washington St,2121,447190,Other Gasoline Stations,44,Retail Trade,3.0,1 to 9,Four Corners,POINT (-71.075619 42.30048),,6,4
42.304384,-71.079598,garifuna cafe's,143 Washington St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,Four Corners,POINT (-71.079598 42.304384),,6,4
42.298693,-71.073436,fourcorners,367 Washington St,2124,813319,Other Social Advocacy Organizations,81,Other Services,7.0,1 to 9,Four Corners,POINT (-71.073436 42.298693),,6,4
42.299014,-71.073644,four corners recycling corp,355 Washington St,2124,423930,Recyclable Material Merchant Wholesalers,42,Wholesale Trade,4.0,1 to 9,Four Corners,POINT (-71.073644 42.299014),,6,4
42.299414,-71.073984,four corners beepers,345 Washington St,2121,522291,Consumer Lending,52,Finance and Insurance,2.0,1 to 9,Four Corners,POINT (-71.073984 42.299414),,6,4
42.298693,-71.073436,four corners action coalition,367 Washington St,2124,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,7.0,1 to 9,Four Corners,POINT (-71.073436 42.298693),,6,4
42.30376,-71.078423,exclusive barber shop,184 Washington St,2121,812111,Barber Shops,81,Other Services,2.0,1 to 9,Four Corners,POINT (-71.078423 42.30376),,6,4
42.299389,-71.073051,emz rainbow laundromat,9 Bowdoin St,2124,812310,Coin-Operated Laundries and Drycleaners,81,Other Services,1.0,1 to 9,Four Corners,POINT (-71.073051 42.299389),,6,4
42.298652,-71.072882,empower brazilian jiu jitsu,374 Washington St,2124,611620,Sports and Recreation Instruction,61,Educational Services,2.0,1 to 9,Four Corners,POINT (-71.072882 42.298652),,6,4
42.297216,-71.072733,ella j baker house,411 Washington St,2124,0,,99,Undefined,0.0,Not Available,Four Corners,POINT (-71.072733 42.297216),,6,4
42.29958,-71.073644,elite steel inc,105 Bowdoin Ave,2121,332312,Fabricated Structural Metal Manufacturing,33,Manufacturing,2.0,1 to 9,Four Corners,POINT (-71.073644 42.29958),,6,4
42.305204,-71.080015,dunbar enterprises inc,116 Washington St,2121,722310,Food Service Contractors,72,Accommodation and Food Services,45.0,25 to 49,Four Corners,POINT (-71.080015 42.305204),,6,4
42.297085,-71.072061,dtc enterprises inc,420 Washington St,2124,561311,Employment Placement Agencies,56,"Adminstrative, Support, Waste Management, and Remediation Services",9.0,1 to 9,Four Corners,POINT (-71.072061 42.297085),,6,4
42.299642,-71.073321,down home delivery & catering,2 Bowdoin St,2124,722513,Limited-Service Restaurants,72,Accommodation and Food Services,5.0,1 to 9,Four Corners,POINT (-71.073321 42.299642),,6,4
42.299642,-71.073321,down home delivery,2 Bowdoin St,2124,454390,Other Direct Selling Establishments,45,Retail Trade,2.0,1 to 9,Four Corners,POINT (-71.073321 42.299642),,6,4
42.303228,-71.07889,diallo's halal meat & grocery,11 Erie St,2121,445210,Meat Markets,44,Retail Trade,1.0,1 to 9,Four Corners,POINT (-71.07889 42.303228),,6,4
42.299825,-71.074543,danny's hair salon,323 Washington St,2121,812112,Beauty Salons,81,Other Services,3.0,1 to 9,Four Corners,POINT (-71.074543 42.299825),,6,4
42.295882,-71.071859,daily table,450 Washington St,2124,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,2.0,1 to 9,Four Corners,POINT (-71.071859 42.295882),,6,4
42.300494,-71.074605,d a bean inc,306 Washington St,2121,813319,Other Social Advocacy Organizations,81,Other Services,9.0,1 to 9,Four Corners,POINT (-71.074605 42.300494),,6,4
42.295669,-71.072473,cvs pharmacy,451 Washington St,2124,446110,Pharmacies and Drug Stores,44,Retail Trade,14.0,10 to 24,Four Corners,POINT (-71.072473 42.295669),,6,4
42.299414,-71.073984,communications center inc,345 Washington St,2121,443142,Electronics Stores,44,Retail Trade,2.0,1 to 9,Four Corners,POINT (-71.073984 42.299414),,6,4
42.300751,-71.076843,"columbus auto body, inc",267 Washington St,2121,811111,General Automotive Repair,81,Other Services,3.0,1 to 9,Four Corners,POINT (-71.076843 42.300751),,6,4
42.296006,-71.072368,city smoke,443 Washington St,2124,453991,Tobacco Stores,45,Retail Trade,2.0,1 to 9,Four Corners,POINT (-71.072368 42.296006),,6,4
42.297216,-71.072733,churches pentecostal,411 Washington St,2124,721191,Bed-and-Breakfast Inns,72,Accommodation and Food Services,4.0,1 to 9,Four Corners,POINT (-71.072733 42.297216),,6,4
42.299288,-71.073757,church of god bethel of boston,347 Washington St,2124,813110,Religious Organizations,81,Other Services,8.0,1 to 9,Four Corners,POINT (-71.073757 42.299288),,6,4
42.302903,-71.077971,christ church international,202 Washington St,2121,813110,Religious Organizations,81,Other Services,3.0,1 to 9,Four Corners,POINT (-71.077971 42.302903),,6,4
42.304654,-71.079849,celebrity cuts barber shop,145 Washington St,2121,812111,Barber Shops,81,Other Services,2.0,1 to 9,Four Corners,POINT (-71.079849 42.304654),,6,4
42.304654,-71.079849,carlisle boutique,145 Washington St,2121,448190,Other Clothing Stores,44,Retail Trade,1.0,1 to 9,Four Corners,POINT (-71.079849 42.304654),,6,4
42.303949,-71.079565,carbbean art gallery,155 Washington St,2121,453920,Art Dealers,45,Retail Trade,3.0,1 to 9,Four Corners,POINT (-71.079565 42.303949),,6,4
42.303307,-71.078809,botanica 21 division,3 Erie St,2121,0,,99,Undefined,0.0,Not Available,Four Corners,POINT (-71.078809 42.303307),,6,4
42.299414,-71.073984,boston tech multiservice,345 Washington St,2121,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2.0,1 to 9,Four Corners,POINT (-71.073984 42.299414),,6,4
42.298968,-71.073963,boston re store,10 Harvard St,2124,444110,Home Centers,44,Retail Trade,1.0,1 to 9,Four Corners,POINT (-71.073963 42.298968),,6,4
42.296697,-71.071976,bartlett notary,428 Washington St,2124,541120,Offices of Notaries,54,"Professional, Scientific, and Technical Services",5.0,1 to 9,Four Corners,POINT (-71.071976 42.296697),,6,4
42.30376,-71.078423,arias wireless,184 Washington St,2121,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2.0,1 to 9,Four Corners,POINT (-71.078423 42.30376),,6,4
42.301223,-71.076054,alpha building construction,272 Washington St,2121,236115,New Single-Family Housing Construction (except For-Sale Builders),23,Construction,5.0,1 to 9,Four Corners,POINT (-71.076054 42.301223),,6,4
42.303285,-71.078886,african hair braiding,7 Erie St,2121,812112,Beauty Salons,81,Other Services,3.0,1 to 9,Four Corners,POINT (-71.078886 42.303285),,6,4
42.298693,-71.073436,action for equity inc,367 Washington St,2124,813319,Other Social Advocacy Organizations,81,Other Services,9.0,1 to 9,Four Corners,POINT (-71.073436 42.298693),,6,4
42.30439,-71.079575,aaaa si store fixture co,153 Washington St,2121,423440,Other Commercial Equipment Merchant Wholesalers,42,Wholesale Trade,5.0,1 to 9,Four Corners,POINT (-71.079575 42.30439),,6,4
42.303394,-71.078773,aaa grocery corp,181 Washington St,2121,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,2.0,1 to 9,Four Corners,POINT (-71.078773 42.303394),,6,4
42.299669,-71.0737,4 corners yoga + wellness,336 Washington St,2121,611699,All Other Miscellaneous Schools and Instruction,61,Educational Services,1.0,1 to 9,Four Corners,POINT (-71.0737 42.299669),,6,4
42.299414,-71.073984,4 corners market,345 Washington St,2121,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,2.0,1 to 9,Four Corners,POINT (-71.073984 42.299414),,6,4
42.303307,-71.078809,21 division,3 Erie St,2121,813110,Religious Organizations,81,Other Services,3.0,1 to 9,Four Corners,POINT (-71.078809 42.303307),,6,4
42.303285,-71.078886,santo domingo restaurant,179 Washington St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,Four Corners,POINT (-71.078886 42.303285),,6,4
42.299825,-71.074543,levi's restaurant restaurant west indian,323 Washington St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,Four Corners,POINT (-71.074543 42.299825),,6,4
42.302126,-71.068942,xclusive trenz,358 Geneva Ave,2122,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),45,Retail Trade,23.0,10 to 24,Bowdoin/Geneva,POINT (-71.068942 42.302126),,6,4
42.305517,-71.06755,western union agent location,217 Bowdoin St,2122,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,3.0,1 to 9,Bowdoin/Geneva,POINT (-71.06755 42.305517),,6,4
42.29999,-71.066,universal salon,451 Geneva Ave,2122,812112,Beauty Salons,81,Other Services,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.066 42.29999),,6,4
42.30619,-71.067364,universal church of god in christ,242 Bowdoin St,2122,813110,Religious Organizations,81,Other Services,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.067364 42.30619),,6,4
42.303853,-71.070887,twenty one plus smoke shop inc,144 Bowdoin St,2122,453991,Tobacco Stores,45,Retail Trade,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.070887 42.303853),,6,4
42.305012,-71.068214,salvation christian center,197 Bowdoin St,2122,813110,Religious Organizations,81,Other Services,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.068214 42.305012),,6,4
42.299259,-71.064697,ramirez grocery,481 Geneva Ave,2122,452319,All Other General Merchandise Stores,45,Retail Trade,4.0,1 to 9,Bowdoin/Geneva,POINT (-71.064697 42.299259),,6,4
42.305658,-71.067462,pollo lounge & grill,225 Bowdoin St,2122,722511,Full-Service Restaurants,72,Accommodation and Food Services,25.0,25 to 49,Bowdoin/Geneva,POINT (-71.067462 42.305658),,6,4
42.301373,-71.067754,papa renos pizza,394 Geneva Ave,2122,722511,Full-Service Restaurants,72,Accommodation and Food Services,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.067754 42.301373),,6,4
42.305517,-71.06755,nelson,213 Bowdoin St,2122,0,,99,Undefined,0.0,Not Available,Bowdoin/Geneva,POINT (-71.06755 42.305517),,6,4
42.305751,-71.067162,mooney cleaners,233 Bowdoin St,2122,812320,Drycleaning and Laundry Services (except Coin-Operated),81,Other Services,4.0,1 to 9,Bowdoin/Geneva,POINT (-71.067162 42.305751),,6,4
42.305658,-71.067462,miguel santana llc,225 Bowdoin St,2122,452319,All Other General Merchandise Stores,45,Retail Trade,0.0,Not Available,Bowdoin/Geneva,POINT (-71.067462 42.305658),,6,4
42.303547,-71.071984,"michael jojo cab, inc",303 Geneva Ave,2121,485310,Taxi Service,48,Transportation and Warehosuing,12.0,10 to 24,Bowdoin/Geneva,POINT (-71.071984 42.303547),,6,4
42.305455,-71.068368,metro by t-mobile-authorized retailer,214 Bowdoin St,2122,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,3.0,1 to 9,Bowdoin/Geneva,POINT (-71.068368 42.305455),,6,4
42.305455,-71.068368,meris beauty salon,214 Bowdoin St,2122,812112,Beauty Salons,81,Other Services,3.0,1 to 9,Bowdoin/Geneva,POINT (-71.068368 42.305455),,6,4
42.305517,-71.06755,maymom liquors,213 Bowdoin St,2122,445310,"Beer, Wine, and Liquor Stores",44,Retail Trade,3.0,1 to 9,Bowdoin/Geneva,POINT (-71.06755 42.305517),,6,4
42.305325,-71.067853,les fils de la veuve no18 inc,211 Bowdoin St,2122,0,,99,Undefined,0.0,Not Available,Bowdoin/Geneva,POINT (-71.067853 42.305325),,6,4
42.305751,-71.067162,landmark coin-op laundry,229 Bowdoin St,2122,812310,Coin-Operated Laundries and Drycleaners,81,Other Services,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.067162 42.305751),,6,4
42.303853,-71.070887,la barberia,144 Bowdoin St,2122,812111,Barber Shops,81,Other Services,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.070887 42.303853),,6,4
42.302126,-71.068942,kinsale construction,358 Geneva Ave,2122,236115,New Single-Family Housing Construction (except For-Sale Builders),23,Construction,5.0,1 to 9,Bowdoin/Geneva,POINT (-71.068942 42.302126),,6,4
42.305325,-71.067853,jml transportaton inc,211 Bowdoin St,2122,485999,All Other Transit and Ground Passenger Transportation,48,Transportation and Warehosuing,9.0,1 to 9,Bowdoin/Geneva,POINT (-71.067853 42.305325),,6,4
42.305972,-71.066984,hawa's african hair braiding,243 Bowdoin St,2122,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,31,Manufacturing,1.0,1 to 9,Bowdoin/Geneva,POINT (-71.066984 42.305972),,6,4
42.306182,-71.067364,hamilton pharmacy llc,246 Bowdoin St,2122,446110,Pharmacies and Drug Stores,44,Retail Trade,7.0,1 to 9,Bowdoin/Geneva,POINT (-71.067364 42.306182),,6,4
42.303116,-71.071152,geneva news,315 Geneva Ave,2122,511110,Newspaper Publishers,51,Information,4.0,1 to 9,Bowdoin/Geneva,POINT (-71.071152 42.303116),,6,4
42.301053,-71.067751,geneva maytag,403 Geneva Ave,2122,812310,Coin-Operated Laundries and Drycleaners,81,Other Services,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.067751 42.301053),,6,4
42.301303,-71.068184,geneva grocery,385 Geneva Ave,2122,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.068184 42.301303),,6,4
42.303853,-71.070887,f m financial service inc,144 Bowdoin St,2122,523930,Investment Advice,52,Finance and Insurance,9.0,1 to 9,Bowdoin/Geneva,POINT (-71.070887 42.303853),,6,4
42.305517,-71.06755,ena liquors inc,213 Bowdoin St,2122,445310,"Beer, Wine, and Liquor Stores",44,Retail Trade,4.0,1 to 9,Bowdoin/Geneva,POINT (-71.06755 42.305517),,6,4
42.303547,-71.071984,"emma jane cab, inc",303 Geneva Ave,2121,485310,Taxi Service,48,Transportation and Warehosuing,12.0,10 to 24,Bowdoin/Geneva,POINT (-71.071984 42.303547),,6,4
42.304658,-71.068897,elier barber shop,189 Bowdoin St,2122,812111,Barber Shops,81,Other Services,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.068897 42.304658),,6,4
42.306054,-71.066954,eastern service workers association,247 Bowdoin St,2122,813910,Business Associations,81,Other Services,6.0,1 to 9,Bowdoin/Geneva,POINT (-71.066954 42.306054),,6,4
42.304527,-71.069055,depina's unisex salon,185 Bowdoin St,2122,812112,Beauty Salons,81,Other Services,4.0,1 to 9,Bowdoin/Geneva,POINT (-71.069055 42.304527),,6,4
42.305972,-71.066984,de amigo barber shop,243 Bowdoin St,2122,812111,Barber Shops,81,Other Services,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.066984 42.305972),,6,4
42.305905,-71.067089,cruz market,237 Bowdoin St,2122,445120,Convenience Stores,44,Retail Trade,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.067089 42.305905),,6,4
42.30313,-71.071264,computers for all dorchester,311 Geneva Ave,2122,811212,Computer and Office Machine Repair and Maintenance,81,Other Services,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.071264 42.30313),,6,4
42.305072,-71.068131,chung wah,199 Bowdoin St,2122,722511,Full-Service Restaurants,72,Accommodation and Food Services,4.0,1 to 9,Bowdoin/Geneva,POINT (-71.068131 42.305072),,6,4
42.305877,-71.067828,bowdoin street health ceneter,230 Bowdoin St,2122,621493,Freestanding Ambulatory Surgical and Emergency Centers,62,Healthcare and Social Assistance,70.0,50 to 99,Bowdoin/Geneva,POINT (-71.067828 42.305877),,6,4
42.305601,-71.067287,boost mobile premier,227 Bowdoin St,2122,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.067287 42.305601),,6,4
42.299574,-71.065412,bloomfield gardens lp,455 Geneva Ave,2122,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,4.0,1 to 9,Bowdoin/Geneva,POINT (-71.065412 42.299574),,6,4
42.305877,-71.067828,bidmc,230 Bowdoin St,2122,621493,Freestanding Ambulatory Surgical and Emergency Centers,62,Healthcare and Social Assistance,20.0,10 to 24,Bowdoin/Geneva,POINT (-71.067828 42.305877),,6,4
42.305877,-71.067828,"beth israel lahey health pharmacy, inc",230 Bowdoin St,2122,446110,Pharmacies and Drug Stores,44,Retail Trade,4.0,1 to 9,Bowdoin/Geneva,POINT (-71.067828 42.305877),,6,4
42.305455,-71.068368,bendiciones wireless,214 Bowdoin St,2122,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2.0,1 to 9,Bowdoin/Geneva,POINT (-71.068368 42.305455),,6,4
42.305072,-71.068131,ars heating & air conditioning service,199 Bowdoin St,2122,238220,"Plumbing, Heating, and Air-Conditioning Contractors",23,Construction,7.0,1 to 9,Bowdoin/Geneva,POINT (-71.068131 42.305072),,6,4
42.299259,-71.064702,amparos multiservice,485 Geneva Ave,2122,541990,"All Other Professional, Scientific, and Technical Services",54,"Professional, Scientific, and Technical Services",3.0,1 to 9,Bowdoin/Geneva,POINT (-71.064702 42.299259),,6,4
42.303547,-71.071984,alam enterprise inc,303 Geneva Ave,2121,813319,Other Social Advocacy Organizations,81,Other Services,9.0,1 to 9,Bowdoin/Geneva,POINT (-71.071984 42.303547),,6,4
42.301067,-71.067757,african best braid,397 Geneva Ave,2122,812112,Beauty Salons,81,Other Services,1.0,1 to 9,Bowdoin/Geneva,POINT (-71.067757 42.301067),,6,4
42.305972,-71.066984,a & k services inc,243 Bowdoin St,2122,561910,Packaging and Labeling Services,56,"Adminstrative, Support, Waste Management, and Remediation Services",4.0,1 to 9,Bowdoin/Geneva,POINT (-71.066984 42.305972),,6,4
42.299099,-71.062035,western union agent location,508 Geneva Ave,2122,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,5.0,1 to 9,Fields Corner,POINT (-71.062035 42.299099),,6,4
42.297668,-71.060636,vision ink,1558 Dorchester Ave,2122,812199,Other Personal Care Services,81,Other Services,3.0,1 to 9,Fields Corner,POINT (-71.060636 42.297668),,6,4
42.297668,-71.060636,viet travel & financial group,1548 Dorchester Ave,2122,523930,Investment Advice,52,Finance and Insurance,9.0,1 to 9,Fields Corner,POINT (-71.060636 42.297668),,6,4
42.299525,-71.06056,valente insurance,1497 Dorchester Ave,2122,524210,Insurance Agencies and Brokerages,52,Finance and Insurance,4.0,1 to 9,Fields Corner,POINT (-71.06056 42.299525),,6,4
42.297668,-71.060636,ut nguyen,1558 Dorchester Ave,2122,541110,Offices of Lawyers,54,"Professional, Scientific, and Technical Services",4.0,1 to 9,Fields Corner,POINT (-71.060636 42.297668),,6,4
42.29987,-71.060014,unlimited pcs,1492 Dorchester Ave,2122,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,3.0,1 to 9,Fields Corner,POINT (-71.060014 42.29987),,6,4
42.299249,-71.060261,tri seafood market corp,1504B Dorchester Ave,2122,445220,Fish and Seafood Markets,44,Retail Trade,3.0,1 to 9,Fields Corner,POINT (-71.060261 42.299249),,6,4
42.299566,-71.060052,transitions of boston club house,1500 Dorchester Ave,2122,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,5.0,1 to 9,Fields Corner,POINT (-71.060052 42.299566),,6,4
42.300081,-71.059915,tran insurance agency llc,1480A Dorchester Ave,2122,524210,Insurance Agencies and Brokerages,52,Finance and Insurance,1.0,1 to 9,Fields Corner,POINT (-71.059915 42.300081),,6,4
42.298018,-71.060603,the corner nail,1540 Dorchester Ave,2122,812113,Nail Salons,81,Other Services,1.0,1 to 9,Fields Corner,POINT (-71.060603 42.298018),,6,4
42.29935,-71.061174,thang long newspaper,18 Faulkner St,2122,511110,Newspaper Publishers,51,Information,8.0,1 to 9,Fields Corner,POINT (-71.061174 42.29935),,6,4
42.298881,-71.062183,target,500 Geneva Ave,2122,452210,Department Stores,45,Retail Trade,0.0,Not Available,Fields Corner,POINT (-71.062183 42.298881),,6,4
42.297668,-71.060636,tam's asian arts,1558 Dorchester Ave,2122,712110,Museums,71,"Arts, Entertainment, and Recreation",3.0,1 to 9,Fields Corner,POINT (-71.060636 42.297668),,6,4
42.299651,-71.060524,t-mobile,1493 Dorchester Ave,2122,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,4.0,1 to 9,Fields Corner,POINT (-71.060524 42.299651),,6,4
42.297668,-71.060636,synergy rehab & physical therapy inc,1558 Dorchester Ave,2122,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",62,Healthcare and Social Assistance,4.0,1 to 9,Fields Corner,POINT (-71.060636 42.297668),,6,4
42.298881,-71.062183,supreme liquors-fields station,500 Geneva Ave,2122,445310,"Beer, Wine, and Liquor Stores",44,Retail Trade,4.0,1 to 9,Fields Corner,POINT (-71.062183 42.298881),,6,4
42.296989,-71.060642,subway,1576 Dorchester Ave,2122,722511,Full-Service Restaurants,72,Accommodation and Food Services,4.0,1 to 9,Fields Corner,POINT (-71.060642 42.296989),,6,4
42.299885,-71.060491,stepupradio105.com,1485 Dorchester Ave,2122,541890,Other Services Related to Advertising,54,"Professional, Scientific, and Technical Services",19.0,10 to 24,Fields Corner,POINT (-71.060491 42.299885),,6,4
42.29987,-71.060014,secret bureau of art design,1486 Dorchester Ave,2122,541430,Graphic Design Services,54,"Professional, Scientific, and Technical Services",1.0,1 to 9,Fields Corner,POINT (-71.060014 42.29987),,6,4
42.297313,-71.060816,rosa's liquors,1568 Dorchester Ave,2122,445310,"Beer, Wine, and Liquor Stores",44,Retail Trade,5.0,1 to 9,Fields Corner,POINT (-71.060816 42.297313),,6,4
42.296989,-71.060642,rkw convenience corp,1576 Dorchester Ave,2122,445120,Convenience Stores,44,Retail Trade,2.0,1 to 9,Fields Corner,POINT (-71.060642 42.296989),,6,4
42.299921,-71.060075,r w runway hair,1488 Dorchester Ave,2122,812112,Beauty Salons,81,Other Services,3.0,1 to 9,Fields Corner,POINT (-71.060075 42.299921),,6,4
42.299885,-71.060491,professional consulting supervisory services llc,1485 Dorchester Ave,2122,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,8.0,1 to 9,Fields Corner,POINT (-71.060491 42.299885),,6,4
42.298881,-71.062183,price rite marketplace,500 Geneva Ave,2122,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,2.0,1 to 9,Fields Corner,POINT (-71.062183 42.298881),,6,4
42.299099,-71.062035,pls financial,508 Geneva Ave,2122,523930,Investment Advice,52,Finance and Insurance,2.0,1 to 9,Fields Corner,POINT (-71.062035 42.299099),,6,4
42.299099,-71.062035,pls check cashers,508 Geneva Ave,2122,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,4.0,1 to 9,Fields Corner,POINT (-71.062035 42.299099),,6,4
42.297668,-71.060636,pham law pc,1548 Dorchester Ave,2122,541110,Offices of Lawyers,54,"Professional, Scientific, and Technical Services",4.0,1 to 9,Fields Corner,POINT (-71.060636 42.297668),,6,4
42.297468,-71.060763,parkview inn,1564 Dorchester Ave,2122,531110,Lessors of Residential Buildings and Dwellings,53,Real Estate Rental and Leasing,1.0,1 to 9,Fields Corner,POINT (-71.060763 42.297468),,6,4
42.299997,-71.060432,my sister's crawfish iii inc,1487 Dorchester Ave,2122,445220,Fish and Seafood Markets,44,Retail Trade,3.0,1 to 9,Fields Corner,POINT (-71.060432 42.299997),,6,4
42.29987,-71.060014,metro by t-mobile-authorized retailer,1492 Dorchester Ave,2122,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2.0,1 to 9,Fields Corner,POINT (-71.060014 42.29987),,6,4
42.299236,-71.060883,mcdonald's,1513 Dorchester Ave,2122,722511,Full-Service Restaurants,72,Accommodation and Food Services,29.0,25 to 49,Fields Corner,POINT (-71.060883 42.299236),,6,4
42.298305,-71.060465,masscosh,1532 Dorchester Ave,2122,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",92,Public Administration,10.0,10 to 24,Fields Corner,POINT (-71.060465 42.298305),,6,4
42.298305,-71.060465,"mass coalition for occupation safety & hlth, inc",1532B Dorchester Ave,2122,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",92,Public Administration,10.0,10 to 24,Fields Corner,POINT (-71.060465 42.298305),,6,4
42.299118,-71.060189,magic wok,1512A Dorchester Ave,2122,722511,Full-Service Restaurants,72,Accommodation and Food Services,3.0,1 to 9,Fields Corner,POINT (-71.060189 42.299118),,6,4
42.298881,-71.062183,madrag,520 Geneva Ave,2122,0,,99,Undefined,0.0,Not Available,Fields Corner,POINT (-71.062183 42.298881),,6,4
42.298305,-71.060465,lxc engineering group llc,1532B Dorchester Ave,2122,0,,99,Undefined,12.0,10 to 24,Fields Corner,POINT (-71.060465 42.298305),,6,4
42.298452,-71.060278,liberty tax service,1526 Dorchester Ave,2122,541213,Tax Preparation Services,54,"Professional, Scientific, and Technical Services",6.0,1 to 9,Fields Corner,POINT (-71.060278 42.298452),,6,4
42.299885,-71.060491,landmark unlimited realty,1491 Dorchester Ave,2122,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,5.0,1 to 9,Fields Corner,POINT (-71.060491 42.299885),,6,4
42.297796,-71.060602,laced by hollywood,1544 Dorchester Ave,2122,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),45,Retail Trade,1.0,1 to 9,Fields Corner,POINT (-71.060602 42.297796),,6,4
42.298452,-71.060278,la martine beauty supply inc,1530 Dorchester Ave,2122,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",44,Retail Trade,5.0,1 to 9,Fields Corner,POINT (-71.060278 42.298452),,6,4
42.299885,-71.060491,l a counseling,1485 Dorchester Ave,2122,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,8.0,1 to 9,Fields Corner,POINT (-71.060491 42.299885),,6,4
42.299565,-71.060347,kit clark senior services,1500 Dorchester Ave,2122,623312,Assisted Living Facilities for the Elderly,62,Healthcare and Social Assistance,40.0,25 to 49,Fields Corner,POINT (-71.060347 42.299565),,6,4
42.299885,-71.060491,kim's flower shop,1491 Dorchester Ave,2122,453110,Florists,45,Retail Trade,3.0,1 to 9,Fields Corner,POINT (-71.060491 42.299885),,6,4
